name,highway,mid_lat,mid_lon,elevation_m,drainage_dist_km,infra_risk,infra_risk_score
['Bassein Road'],['secondary'],19.3450329,72.80628635,8.0,1.2522244685600514,Medium,53.2
['Bassein Road'],['primary'],19.3688439,72.81805815,11.0,0.14674154203681344,Medium,59.3
['Mumbai Delhi Highway'],['trunk'],19.393640032990586,72.89086819538694,145.0,0.9138249723985893,Low,16.3
,['trunk_link'],19.3632646491165,72.89270627615245,2.0,0.44880550480382103,High,86.3
['Bapane Flyover'],['trunk'],19.36529624596947,72.89363065126156,43.0,0.3869676990730565,Low,24.2
['Mumbai Delhi Highway'],['trunk'],19.380085662235995,72.89550859461785,19.0,0.40827354886761114,Low,27.4
,['residential'],19.379823088259496,72.89497827577571,40.0,0.47349252251313056,Low,22.9
['Mumbai Delhi Highway'],['trunk'],19.37954016035798,72.89563700732265,19.0,0.41550873002714966,Low,27.3
,['tertiary'],19.358705186020703,72.8609661280474,2.0,1.0869647920703207,High,76.7
['Juchandra Road Sane Guruji Marg'],['primary'],19.3583551700833,72.86450003661828,2.0,0.8848490440942661,High,79.7
['Juchandra Road Sane Guruji Marg'],['primary'],19.358201024688096,72.86386185565397,2.0,0.9522474586756999,High,78.7
['Juchandra Road Sane Guruji Marg'],['primary'],19.35979295,72.8790192,16.0,0.6735752766052031,Medium,33.9
['Juchandra Road Sane Guruji Marg'],['primary'],19.361069399999998,72.88122204999999,16.0,0.908565955471553,Medium,30.4
['Juchandra Road Sane Guruji Marg'],['primary'],19.360690017759158,72.8805940543022,16.0,0.8733059275715883,Medium,30.9
,['residential'],19.36056940856486,72.88169000762694,16.0,0.8474767407301367,Medium,31.3
['Juchandra Road Sane Guruji Marg'],['primary'],19.366330094092564,72.8913526275151,43.0,0.6480323321052577,Low,20.3
['Juchandra Road Sane Guruji Marg'],['primary'],19.366104913703147,72.8902057003127,43.0,0.6445246245120556,Low,20.3
,['residential'],19.3659760722934,72.89086970932584,43.0,0.637785992541606,Low,20.4
,['primary'],19.3428216,72.83744245,0.0,0.15338149987398758,High,97.7
,['residential'],19.3420873,72.83728719999999,0.0,0.0787350284803164,High,98.8
,['primary'],19.34264884375519,72.8369010508168,0.0,0.15074561852730697,High,97.7
,['primary'],19.342459111366846,72.83494554463292,7.0,0.2177417434848272,High,72.2
,['primary'],19.342587563607566,72.83598297115908,0.0,0.18170374712470305,High,97.3
,['residential'],19.342435519445864,72.83536573052943,0.0,0.1959345069469712,High,97.1
,['residential'],19.34295394413835,72.83598049886733,0.0,0.2181924105829127,High,96.7
,['primary'],19.341411926205176,72.82963477664198,7.0,0.367144589658927,High,70.0
,['primary'],19.341374263416444,72.83058905956344,7.0,0.3119369841048291,High,70.8
,['residential'],19.34194326447796,72.83004114217911,7.0,0.3965264318132647,High,69.6
,['residential'],19.421823576867368,72.87586092651253,81.0,0.0021108187073116094,Low,30.0
['Mumbai Delhi Highway'],['trunk'],19.419034672218356,72.87525036318422,81.0,0.007873602187491115,Low,29.9
,['trunk_link'],19.47002125,72.8908391,25.0,0.6151906221169421,Low,20.8
['Mumbai Delhi Highway'],['trunk'],19.467914198428506,72.88870936169451,25.0,0.2870350725900555,Low,25.7
['Mumbai Delhi Highway'],['trunk'],19.415556347455386,72.87571362526857,81.0,0.3650210668465379,Low,24.5
,['residential'],19.41564671520156,72.87582807267118,81.0,0.365189012443019,Low,24.5
['Mumbai Delhi Highway'],['trunk'],19.425467594703516,72.8745142321815,30.0,0.09257337824354744,Low,28.6
['Papdy Road'],['primary'],19.3540918,72.81274945,8.0,0.017272920571814242,High,71.7
,['residential'],19.35404605,72.81279935,8.0,0.018444821937827705,High,71.7
,['tertiary'],19.3585145,72.81551544999999,2.0,0.4078743238523521,High,86.9
,['residential'],19.357898971219647,72.81539556149941,2.0,0.35112190188923886,High,87.7
,['tertiary'],19.35793323273206,72.81368986536773,3.0,0.22584740652327562,High,86.1
['Waliv Road'],['secondary'],19.4102035,72.8546293,32.0,0.14672776746459826,Low,27.8
,['residential'],19.410117550000002,72.8545931,32.0,0.14267499941853987,Low,27.9
,['primary'],19.346658838898033,72.82277230335684,11.0,1.2554878422405464,Medium,42.7
,['primary'],19.345583998656046,72.82389914718134,11.0,1.0889297093211614,Medium,45.2
,['residential'],19.345655758264535,72.822686066652,11.0,1.1651192743515018,Medium,44.0
['Satpala - Wagholi Road'],['secondary'],19.366437949999998,72.815307,11.0,0.23280507572160736,Medium,58.0
,['tertiary'],19.366535550000002,72.81559195,11.0,0.21617256483280714,Medium,58.3
['Bassein Road'],['primary'],19.366905862309874,72.81589070387213,11.0,0.17349878324459128,Medium,58.9
,['primary'],19.351788499999998,72.8123287,8.0,0.2737380666036399,High,67.9
['Mahatma Gandhi Road'],['primary'],19.352012425137865,72.81228916206082,8.0,0.2509831804517075,High,68.2
,['tertiary'],19.35748575,72.81206309999999,3.0,0.14705257933816313,High,87.3
['Bassein Road'],['primary'],19.35905427064043,72.81260501132947,3.0,0.3168760542485057,High,84.7
,['primary'],19.393503449999997,72.8306235,9.0,0.16181411842699728,High,66.1
['Vasai Road'],['primary'],19.39591375930296,72.83269765435999,3.0,0.3090639833756489,High,84.9
['Vasai Road'],['primary'],19.40559645,72.8497493,32.0,0.1913927708629409,Low,27.1
['Waliv Road'],['secondary'],19.40630299588364,72.85023274467177,32.0,0.14523222631819485,Low,27.8
['Vasai Road'],['primary'],19.40563925,72.85005455000001,32.0,0.15804759321748507,Low,27.6
['Waliv Road'],['secondary'],19.405561249999998,72.8497942,32.0,0.1860897453528625,Low,27.2
['Tungareshwar Road'],['tertiary'],19.40731335,72.8695922,19.0,0.06652198877589618,Medium,32.5
['Vasai Road'],['primary'],19.407149108989064,72.87009683171547,19.0,0.10222693319775823,Medium,32.0
['Tungareshwar Road'],['tertiary'],19.40748970016521,72.86975902515971,19.0,0.05440167790766162,Medium,32.7
['Vasai Road'],['primary'],19.403157630514855,72.88265740186596,45.0,1.1344884829251003,Low,13.0
,['primary_link'],19.40332823538185,72.88263027262404,45.0,1.1155718736568099,Low,13.3
,['trunk_link'],19.4030421,72.8829068,45.0,1.1555986218379277,Low,12.7
['Vasai Road'],['primary'],19.403421590340567,72.88155049280262,45.0,1.0733365860877082,Low,13.9
['Bassein Road'],['primary'],19.38125005,72.8294171,9.0,0.6853829652355068,Medium,58.2
['Vasai Station Road'],['residential'],19.381240599999998,72.8294863,9.0,0.6859200933063728,Medium,58.2
['60 Feet Road'],['residential'],19.38459625,72.82720280000001,9.0,0.6756493257157146,Medium,58.4
['Ambadi Road'],['primary'],19.384855629649625,72.82701657238012,9.0,0.675822416869616,Medium,58.4
,['tertiary'],19.3870231,72.8267399,9.0,0.5963390967903728,Medium,59.6
['Ambadi Road'],['primary'],19.387518304993,72.82663752584055,9.0,0.553623308889311,High,60.2
,['residential'],19.35072725,72.8123779,8.0,0.3873441797742291,High,66.2
['Bassein Road'],['secondary'],19.351257926666758,72.81233098902175,8.0,0.3307107878167553,High,67.0
,['residential'],19.35225265,72.8120702,8.0,0.2333360607868433,High,68.5
['Mahatma Gandhi Road'],['primary'],19.35240634354599,72.81232145831166,8.0,0.20794764693544784,High,68.9
,['residential'],19.3525749,72.8123849,8.0,0.18800746853861316,High,69.2
